number,potential,O(0),pH,temp,F,Cl,Br,N(+5),S(+6),Mg,Ca,Na,K,C(4),observations,
,,,,,,,,,,,,,,charge,,
1,0.01,0.186773188,6.634689118,17.15573,0.018894737,0.497937853,0.00028786,0.014467742,0.291416667,0.094650206,0.68375,0.53930131,0.089514066,1,5-4.5-F14,4043
2,-0.362,0.005941506,7.300723349,13.41803,0.012578947,0.334830508,0.000262829,0,0.378458333,0.148148148,1.20375,0.408296943,0.056265985,1,6-5.5-F13,4489
3,-0.36,0.005507256,7.193999763,12.6806,0.010105263,0.322711864,0.000275344,0.000419355,0.366291667,0.125514403,1.22875,0.384279476,0.047314578,1,7-6.5-F12,6405
4,-0.32,0.003546816,7.312581525,13.62844,0.012947368,0.442118644,0.000400501,0.012483871,0.456895833,0.156378601,1.8275,0.53930131,0.07544757,1,8-7.5-F11,2888
5,-0.261,0.004516456,7.241432468,13.33593,0.012684211,0.446073446,0.000387985,0.01016129,0.45403125,0.135802469,1.54625,0.53930131,0.047314578,1,9-8.5-F10,4883
6,-0.3,0.004823484,7.288865173,12.72822,0.013631579,0.496694915,0.000450563,0.00983871,0.462489583,0.144032922,1.59125,0.602620087,0.067774936,1,10-9.5-F9,4095
7,-0.28,0.005358309,7.348156054,13.68043,0.014210526,0.542570621,0.000463079,0.009241935,0.489635417,0.139917695,1.55375,0.602620087,0.062659847,1,11-10.5-F8,3255
8,-0.27,0.007462372,7.415352385,13.42136,0.013157895,0.585480226,0.000500626,0.009822581,0.507760417,0.154320988,1.77875,0.713973799,0.060102302,1,12-11.5-F7,3150
9,-0.268,0.004813425,7.217716115,12.51735,0.013,0.660847458,0.000525657,0.008903226,0.54903125,0.156378601,1.87,0.772925764,0.058823529,1,13-12.5-F6,2809
10,-0.252,0.004775534,7.241432468,12.52127,0.012105263,0.894011299,0.000625782,0.010145161,0.61671875,0.158436214,1.90125,0.991266376,0.070332481,1,14-13.5-F5,3255
11,-0.216666667,0.004518144,7.277006996,12.06379,0.009263158,1.155536723,0.00077597,0.008241935,0.777916667,0.181069959,1.8425,1.021834061,0.071611253,1,15-14.5-F4,5985
12,-0.25,0.004303831,7.395588758,12.07121,0.009263158,1.160028249,0.000826033,0.007887097,0.904010417,0.211934156,2.46625,1.098253275,0.089514066,1,16-15.5-F3,3885
13,-0.248666667,0.003686622,7.518913791,11.93119,0.011631579,1.075423729,0.000838548,0.007387097,1.0368125,0.222222222,2.70625,1.1069869,0.078005115,1,17-16.5-F2,4069
14,-0.2455,0.004112313,7.48452508,11.70672,0.010263158,1.50319209,0.001239049,0.007467742,1.200041667,0.238683128,2.62,2.176855895,0.108695652,1,18-17.5-F1,2599
,,,,,,,,,,,,,,,,3334